run_name,supervision,n_orb,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,onsite_near,onsite_far,ci_interior_mode,ci_interior_total,onsite_abs_mean,onsite_std,saved_at_epoch
ham_dos_n1_L2_nogeom_s1179027592,DOS+T,1,2,off,1179027592,0.5116218605211803,2.8435720870919563,2.215896151443376,0.21392879790884478,0.18324101008203728,2.3495202064898293,2.3495202064898293,0.4786030591146404,0.9364454352505417,2.4149965735932435,2.3935872449991074,2963
ham_dos_n1_L2_nogeom_s2129768291,DOS+T,1,2,off,2129768291,0.48791456648281645,2.5885279976387263,2.481744703577915,0.20023181319789107,0.20309463712708684,5.250344354941575,5.250344354941575,1.1577375047682352,1.1642073329001286,5.472696352568191,8.645630124835055,3727
ham_dos_n1_L2_nogeom_s3731635825,DOS+T,1,2,off,3731635825,0.518263212272099,2.3541804543119484,2.3225135714233733,0.19695901893987505,0.1952031648627519,3.678106571471212,3.678106571471212,0.12666393511651974,0.126723420599819,3.6018979657071446,3.71371131524138,666
ham_dos_n1_L2_geom_s1179027592,DOS+T,1,2,on,1179027592,0.4749673775264195,2.452071298944438,2.2148815126869854,0.2270534952192865,0.20630915140261769,3.7308767979749584,3.7308767979749584,0.9325232182221184,0.9325290923822673,3.821031264698474,4.476318128344775,1086
ham_dos_n1_L2_geom_s2129768291,DOS+T,1,2,on,2129768291,0.4961939070905958,3.0836337737027875,2.4184389300888833,0.20708752559880786,0.19385725397127498,4.308451742522156,4.308451742522156,1.5648459591469495,1.5677178629790616,4.075001765358036,4.910941005222395,1910
ham_dos_n1_L2_geom_s3731635825,DOS+T,1,2,on,3731635825,0.46995709197861807,2.870303138829785,2.3521414182993077,0.23309738241112188,0.19684851515777274,5.55809133265871,5.55809133265871,0.5439483543029349,0.5561346599993868,5.747227667235469,6.988258143756948,2020
ham_dos_n1_L4_nogeom_s1179027592,DOS+T,1,4,off,1179027592,0.41140550268547876,2.465955257568303,2.501006231883085,0.2029648100551683,0.20469027446771337,3.514605788375488,3.514605788375488,2.5368479676336815,2.548740725342416,3.422451459078987,4.157910065075143,870
ham_dos_n1_L4_nogeom_s2129768291,DOS+T,1,4,off,2129768291,0.4003562033176422,2.16116036707687,2.3674529989834348,0.20600557334894687,0.20472885435464455,3.6345643200463478,3.6345643200463478,2.651192310761908,2.6580612520500635,3.4870768865401542,4.977546134623289,1511
ham_dos_n1_L4_nogeom_s3731635825,DOS+T,1,4,off,3731635825,0.36759443687541143,2.521155157337234,2.372468140569576,0.20420685618225648,0.20927563311144853,2.1806897086284898,2.1806897086284898,0.7317539508661626,0.8084882544159337,2.0714548827281667,2.1975407140005947,2698
ham_dos_n1_L4_geom_s1179027592,DOS+T,1,4,on,1179027592,0.4155144840478897,2.4209042001244834,2.2971734175595824,0.21564364524899643,0.22348774419371153,3.098525104325654,3.098525104325654,1.54157212642491,1.548480098105923,2.9127678327319315,3.367492947054293,2713
ham_dos_n1_L4_geom_s2129768291,DOS+T,1,4,on,2129768291,0.3988171922309058,2.1637184139434416,2.428886167483377,0.20545775377127218,0.20514399666340147,4.028309419501152,4.028309419501152,2.736593167599316,2.7407449654726665,3.521704901872145,6.766469403764719,2925
ham_dos_n1_L4_geom_s3731635825,DOS+T,1,4,on,3731635825,0.46064989481653484,2.4715956620137063,2.4535354032959145,0.19833046242505642,0.21844206718114031,1.3170416245597292,1.3170416245597292,0.16667059602376583,0.16738271459195755,1.3230345415719529,0.8016943200720209,9986
ham_dos_n2_L2_nogeom_s1179027592,DOS+T,2,2,off,1179027592,0.33759921150548117,3.0007120103864096,2.496026589539552,0.16695121385179332,0.1645579687512469,1.6579645880065839,4.221482447387982,0.2427292024917268,0.2427339171485846,3.00171153998559,2.577649492730734,224
