arm,family,seed,n_params,saved_at_epoch,val_transmission,l12_transmission,l12_dos,l16_transmission,l16_dos
ham base,ham,1179027592,797960,9043,0.3414697082979338,2.597782962157159,0.17606007241046714,2.0176527273715514,0.16306738928054684
ham base,ham,2129768291,797960,732,0.3959714812891824,1.5263660516437565,0.1931326032373425,2.0479297896484328,0.19710652756447605
ham base,ham,3731635825,797960,5516,0.33185859876019613,1.245251234966906,0.1501940898230186,1.470618511515449,0.1649312153311997
ham deep,ham,1179027592,929544,662,0.28669871975268635,2.165501865965266,0.1531483986187143,2.4915392360319597,0.1543152760538908
ham deep,ham,2129768291,929544,937,0.3190284014812538,2.593493056814788,0.17714042594676319,2.5611227159598555,0.16955042029107215
ham deep,ham,3731635825,929544,3414,0.3271190763584205,2.40209142355162,0.1688861032031319,2.3119632458936055,0.1742085443703108
ham h512,ham,1179027592,3168776,1280,0.34912647413355963,2.2748395288931307,0.16653136554345604,2.565414306613648,0.16905203134707947
ham h512,ham,2129768291,3168776,407,0.31359499213950975,2.1728552420237204,0.17301054501033403,2.001953437730597,0.17722250925562133
ham h512,ham,3731635825,3168776,1491,0.3830903704677309,2.4199917052282776,0.17150246487090942,2.374407836000432,0.16177456703751103
direct base,blind,1179027592,385682,563,0.16360747707741602,2.2859530385352063,0.1159346206180617,3.577799226902717,0.13172132788615248
direct base,blind,2129768291,385682,461,0.1729691188250269,2.0944613485378802,0.11255499893110299,3.2177490548933827,0.13540769123366597
direct base,blind,3731635825,385682,728,0.17092635748641832,2.068305265926062,0.12939788095478566,3.0792973821521192,0.15507720179817155
direct deep,blind,1179027592,517266,380,0.1576626008110387,2.006595907571328,0.09979750031058267,2.8085258495253704,0.12134394961951475
direct deep,blind,2129768291,517266,409,0.1633509551840169,2.1503210043698595,0.08741851973461118,3.0997385341716925,0.10480178911644884
direct deep,blind,3731635825,517266,312,0.15242021264774458,2.1686040825761355,0.08952919795825788,3.0600583323706045,0.12194758617354183
direct h512,blind,1179027592,1426322,601,0.16691509155290468,2.0106821999659386,0.12564909780905165,3.0474227793396578,0.1374071479112482
direct h512,blind,2129768291,1426322,326,0.1700910867324897,2.040932983749009,0.1121599458564835,2.9072459076490653,0.14067586767516238
direct h512,blind,3731635825,1426322,293,0.16721480446202414,2.0192656169589616,0.09743654540536659,3.163060203795279,0.11693514686265871
